"source_id","organization","date","source_type","lifecycle_stage","claim","evidence_status","observed_pattern","precondition","failure_mode","control","metric","confidence","applicability","citation"
"OAI-01","OpenAI","2026-02-11","engineering case","whole lifecycle","Agent performance depends on a legible repository, enforceable architecture, isolated workspaces, executable feedback, and versioned plans.","engineering_evidence; self_reported_claim for throughput","Humans design the environment and feedback loops while agents execute and review work.","Repository state, tests, logs, metrics, and UI are accessible to the agent.","Underspecified environments, inaccessible knowledge, architectural drift, and human QA bottlenecks.","Repository maps, AGENTS.md routing, invariant checks, worktree-local runtime, plans, and observability.","PR throughput, task duration, test coverage, architecture violations, human attention.","high","direct","https://openai.com/index/harness-engineering/"
"OAI-02","OpenAI","2026-04-27","engineering case","plan; execute; integrate","Deliverables in an issue tracker can be the durable control plane for continuously running coding agents.","engineering_evidence; self_reported_claim for 500 percent increase","Organize work around outcomes and issue state rather than interactive sessions or PR count.","Clear task states, isolated workspaces, agent tools, CI, and recoverable runs.","Human context switching, stalled sessions, forgotten work, and fragile last-mile integration.","Issue-backed objectives, one workspace per task, restart on stall, CI watching, and review packets.","Landed outcomes, stalled or abandoned work, time in state, human interventions.","high","direct with GitHub substitution for Linear","https://openai.com/index/open-source-codex-orchestration-symphony/"
"OAI-03","OpenAI","2026-04-15","product engineering","execute; security; recovery","Long-horizon agents need controlled workspaces, explicit instructions, tools, and sandboxed execution.","official_guidance; product_claim","Keep the model-facing harness separate from the controlled execution environment.","A sandbox can restrict filesystem, network, process, and lifetime boundaries.","Tool use escapes intended scope or makes unsafe environmental changes.","Controlled sandbox and explicit workspace/tool boundaries.","Task success, policy violations, recovery rate, execution cost.","medium","direct principle; implementation optional in v0.1","https://openai.com/index/the-next-evolution-of-the-agents-sdk/"
"OAI-04","OpenAI","2025-11","leadership guide","whole lifecycle","AI-native engineering moves agents from isolated code suggestions toward planning, implementation, testing, review, and deployment support while humans focus on intent and higher-order judgment.","official_guidance; examples and results are self_reported_claim","Delegate well-specified execution; retain human direction for ambiguity, architecture, and durable tradeoffs.","Written goals, planning artifacts, AGENTS.md, tests, and review criteria exist.","Agents receive mechanical tasks without enough product or system context, or humans remain the inner-loop bottleneck.","Outcome clarity, planning, repository instructions, executable feedback, and risk-aware review.","Accepted outcomes, first-pass quality, review effort, defect and rollback rate.","medium","direct at operating-model level","https://cdn.openai.com/business-guides-and-resources/building-an-ai-native-engineering-team.pdf"
"OAI-05","OpenAI","2025-03","practice guide","shape; execute; govern","Agents independently accomplish multi-step workflows through tools and should start with the simplest architecture that fits, with guardrails and bounded human intervention.","official_guidance","Use one agent by default; add orchestration only when complexity requires it; escalate on high-risk actions or failure thresholds.","Tools and instructions are well defined and intervention boundaries are explicit.","Needless multi-agent complexity, unlimited retries, or sensitive actions without oversight.","Simple composable patterns, guardrails, retry limits, and exact high-risk gates.","Task success, retry count, escalation precision, latency, cost.","high","direct","https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/"
"OAI-06","OpenAI","2026-05-29","evaluation guidance","verify; evaluate","An agent evaluation result is inseparable from its harness, environment, budget, validity checks, and the claim it is intended to support.","official_guidance informed by external evaluations","Record the tested system and resource budget; check reward hacking, contamination, broken tasks, refusals, and evaluation awareness.","Evaluation tasks, harness, tools, safeguards, retries, and scoring are disclosed.","Headline scores overstate or understate capability because the setup changed or the task is invalid.","Comparable harnesses, explicit claims, validity review, intermediate artifacts, and budget reporting.","Success distribution, attempts, tokens, wall time, cost per successful outcome, validity exceptions.","high","direct","https://openai.com/index/trustworthy-third-party-evaluations-foundations/"
"ANT-01","Anthropic","2024-12-19","engineering guidance","shape; orchestrate","Successful agentic systems usually start with simple, composable patterns and add complexity only when it measurably helps.","engineering_evidence from customer and internal practice","Match workflow or agent architecture to task uncertainty; do not begin with a framework-heavy swarm.","The task and feedback loop can be characterized.","Framework complexity obscures failure, raises latency and cost, and reduces debuggability.","Start simple, evaluate, and add routing, parallelization, or evaluator loops only for demonstrated need.","Task success, latency, cost, error localization.","high","direct","https://www.anthropic.com/engineering/building-effective-agents"
"ANT-02","Anthropic","2025-11-26","engineering experiment","execute; handoff; recovery","Long-running work across context windows benefits from an initializer, incremental progress, and explicit artifacts for the next session.","engineering_evidence; scoped experiment","Persist goal, plan, progress, verification, and next action outside the session.","Work exceeds one context window and the repository can hold durable state.","Context loss, premature completion, duplicate work, and a broken environment inherited by the next session.","Initializer, incremental changes, progress file, clean state, and end-of-session handoff.","Resume success, repeated work, incomplete tasks, verification continuity.","high","direct","https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents"
"ANT-03","Anthropic","2025-09-29","engineering guidance","context; execute","Context is a finite resource; effective agents need the smallest high-signal context assembled and refreshed over the loop.","engineering_evidence from applied practice","Use progressive disclosure, just-in-time retrieval, compaction, and structured notes instead of a giant prompt.","Knowledge is discoverable and can be routed by task.","Context pollution, stale instructions, lost goals, or crucial facts omitted from attention.","Small stable entry point, routed references, structured memory, and context refresh.","Context size, retrieval usefulness, repeated discovery, task success, cost.","high","direct","https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents"
"ANT-04","Anthropic","2025-06-13","engineering case","research; delegate; synthesize","A lead-worker multi-agent system improves breadth-first research when tasks are independently searchable, but coordination, evaluation, and reliability become first-order problems.","engineering_evidence; self_reported internal evaluation","Parallelize independent branches and keep synthesis and citation responsibilities explicit.","The problem is decomposable and parallel search value exceeds coordination cost.","Runaway spawning, duplicate search, uneven effort, citation loss, and high token use.","Lead agent, bounded delegation, saved plan, independent trajectories, citation pass, and production observability.","Coverage, citation accuracy, task success, token use, wall time.","high","direct for parallel research; not a universal topology","https://www.anthropic.com/engineering/multi-agent-research-system"
