source_id,organization,title,source_type,grade,publication_date,lifecycle_stage,claim,evidence,observed_pattern,precondition,failure_mode,control,metric,confidence,applicability,citation
OA-01,OpenAI,Harness engineering: leveraging Codex in an agent-first world,engineering,A,2026,context;execute;verify,An agent-first repository makes domain context and architecture legible to the agent,The post describes internal repository structure invariants tooling tests and observability,Repository legibility and enforced invariants are part of the execution system,Stable boundaries and executable checks must exist before scaling autonomy,Agents make locally plausible changes that violate architecture when context or invariants are underspecified,Make boundaries explicit and validate them continuously,review loops;test feedback;agent-readable telemetry,high,Hydra doctrine;repository contract;context artifacts,https://openai.com/index/harness-engineering/
OA-02,OpenAI,An open-source spec for Codex orchestration: Symphony,architecture;workflow,A,2026,plan;execute;handoff,The issue tracker can act as the control plane while isolated workspaces execute durable goals,The public spec maps open tasks to workspaces and treats sessions and PRs as means rather than the goal,Durable goals and human attention are the scarce coordination units,Tasks need explicit objective context and workspace isolation,Context switching and session churn obscure outcome ownership,Use goal records with isolated attempts and durable handoffs,goal completion;attention cost;workspace state,high,Hydra workflow;Issue contract;handoff,https://openai.com/index/open-source-codex-orchestration-symphony/
OA-03,OpenAI,Running Codex safely at OpenAI,security;operations,A,2025,execute;approve;observe,Agent capability must be paired with bounded environments approvals and audit telemetry,The article describes sandboxing managed configuration network limits and agent-native logs,Security controls belong in runtime and policy layers rather than prompts,The agent must execute code or access tools inside a declared boundary,Prompt-only containment fails under untrusted input or tool misuse,Sandbox network policy approvals and telemetry,security incidents;approval friction;audit completeness,high,Hydra governance;risk lanes;connector policy,https://openai.com/index/running-codex-safely/
OA-04,OpenAI,How OpenAI uses Codex,business-case-study,B,2025,adopt;observe,Codex is used across technical functions for understanding refactoring shipping and incidents,The guide reports use across Security Product Engineering Frontend API Infrastructure and Performance Engineering,Agent use expands when the lifecycle includes investigation and operations not only code generation,Teams need task-specific context and acceptance checks,Adoption remains shallow if agents are confined to autocomplete,Track outcomes by workflow not by prompt volume,workflow success;cycle time;incident assistance,medium,Hydra adoption model;metrics,https://openai.com/business/guides-and-resources/how-openai-uses-codex/
OA-05,OpenAI,Unlocking the Codex harness: how we built the App Server,architecture;platform,B,2026,execute;handoff;observe,Stable harness primitives can be reused across web CLI IDE and app surfaces,The App Server exposes a common JSON-RPC harness across clients,Portable interfaces reduce repeated integration and preserve context across surfaces,The model and tool contracts must be explicit and versioned,Client-specific behavior fragments the audit trail and increases drift,Keep transport and harness interfaces stable while adapters vary,interface compatibility;run continuity;integration defects,high,Hydra portability;skill packaging,https://openai.com/index/unlocking-the-codex-harness/
OA-06,OpenAI,Codex Security research preview,security;evaluation,A,2025,verify;approve;observe,Context-rich security agents need sandboxed validation and pressure testing,The preview describes scanning repositories and validating findings in isolated environments,Security review is an execution and evidence loop rather than a final checklist,Findings need reproducible paths and a safe test environment,Unvalidated findings create noise while untested fixes can introduce new risk,Reproduce in isolation and preserve evidence for review,validated findings;false-positive rate;fix regression,high,Hydra security lane;independent evaluation,https://openai.com/index/codex-security-now-in-research-preview/
OA-07,OpenAI,The next evolution of the Agents SDK,platform;architecture,B,2026,execute;observe,Model-native harnesses need sandbox execution and memory-aware orchestration,The post positions sandbox and memory as primitives of the SDK rather than application-specific prompts,Durable context and execution are separable system components,Long-running work exceeds one conversational context,State loss and fragile prompt reconstruction cause repeated work,Persist state and expose resumable execution primitives,run resumption;state recovery;tool reliability,high,Hydra handoff;continuity;portable meaning,https://openai.com/index/the-next-evolution-of-the-agents-sdk/
AN-01,Anthropic,Building Effective AI Agents,architecture;workflow,A,2024,plan;execute,Workflows use predefined paths while agents dynamically direct process and tool use,The article compares workflow patterns and agent patterns and recommends the simplest sufficient design,Complexity should be purchased only when task variability requires it,Success criteria and tool boundaries must be clear enough to choose a pattern,Overengineering adds cost and failure modes without improving outcomes,Start with deterministic workflow and add autonomy where evidence warrants,task success;latency;tool errors,high,Hydra workflow design;complexity budget,https://www.anthropic.com/engineering/building-effective-agents
AN-02,Anthropic,Effective harnesses for long-running agents,engineering;handoff,A,2025,execute;handoff;observe,Long-running agents need an initializer and incremental coding sessions that leave structured artifacts,The experiment uses initializer setup progress files initial commits and per-session handoffs,Continuity is an artifact and repository-state problem not only a context-window problem,Each session must start from a clean inspectable state,One-shot prompts produce incomplete undocumented state and premature completion,Use progress records clean state checks and explicit next actions,session recovery;feature completion;handoff quality,high,Hydra goal state;handoff packet;worktree,https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents
AN-03,Anthropic,Harness design for long-running application development,architecture;evaluation,A,2026,plan;execute;verify,Planner generator and evaluator roles can improve long-running application development,The article compares multi-agent structures and structured artifacts across context resets,Independent evaluation reduces self-evaluation bias and makes subjective criteria operational,Tasks need decomposable chunks and evaluable outputs,Large monolithic runs hide which component caused a failure,Decompose work and use evaluator feedback at defined checkpoints,quality score;iteration count;evaluator agreement,high,Hydra lifecycle;review;independent evaluator,https://www.anthropic.com/engineering/harness-design-long-running-apps
